partition,product_type,scene_id,detect_id,GRD_product_identifier,detect_lat,detect_lon,detect_scene_column,detect_scene_row,top,left,bottom,right,vessel_length_m,source,is_vessel,is_fishing,global_shoreline_vector_distance_from_shore_km,xView3_shoreline_distance_from_shore_km,confidence
train,GRD,81f64a8d90b22463t,81f64a8d90b22463t_044.36370981484719777654_013.49154811234119932806,S1A_IW_GRDH_1SDV_20200114T051927_20200114T051952_030792_038823_CCB8,44.36370981484721,13.4915481123412,2307.0,12596.0,,,,,,ais,False,,9999.99,9999.99,HIGH
train,GRD,81f64a8d90b22463t,81f64a8d90b22463t_044.21278190468510160827_012.70530371712940009843,S1A_IW_GRDH_1SDV_20200114T051927_20200114T051952_030792_038823_CCB8,44.21278190468511,12.7053037171294,8161.0,9845.0,,,,,,ais,False,,9999.99,9999.99,HIGH
train,GRD,81f64a8d90b22463t,81f64a8d90b22463t_044.44665906086240170225_013.48049160310320004896,S1A_IW_GRDH_1SDV_20200114T051927_20200114T051952_030792_038823_CCB8,44.4466590608624,13.480491603103196,2569.0,13469.0,,,,,,ais,False,,9999.99,9999.99,HIGH
train,GRD,81f64a8d90b22463t,81f64a8d90b22463t_044.29488030351709682009_012.63918981260430030034,S1A_IW_GRDH_1SDV_20200114T051927_20200114T051952_030792_038823_CCB8,44.294880303517104,12.6391898126043,8846.0,10636.0,,,,,,ais,False,,9999.99,9999.99,HIGH
train,GRD,81f64a8d90b22463t,81f64a8d90b22463t_044.16713000637100350332_012.72015657084410023003,S1A_IW_GRDH_1SDV_20200114T051927_20200114T051952_030792_038823_CCB8,44.167130006371,12.7201565708441,7952.0,9375.0,,,,,,ais,False,,9999.99,9999.99,HIGH
train,GRD,81f64a8d90b22463t,81f64a8d90b22463t_044.47618311986809658265_012.36343341994689914998,S1A_IW_GRDH_1SDV_20200114T051927_20200114T051952_030792_038823_CCB8,44.4761831198681,12.3634334199469,11369.0,12208.0,,,,,20.212787078935413,ais,False,,5.63575426919759,5.647253883567298,HIGH
train,GRD,81f64a8d90b22463t,81f64a8d90b22463t_044.30174194512510155164_012.64041168487429978029,S1A_IW_GRDH_1SDV_20200114T051927_20200114T051952_030792_038823_CCB8,44.3017419451251,12.640411684874303,8850.0,10712.0,,,,,,ais,False,,9999.99,9999.99,HIGH
train,GRD,81f64a8d90b22463t,81f64a8d90b22463t_044.10889680789669853311_013.64899498308520087164,S1A_IW_GRDH_1SDV_20200114T051927_20200114T051952_030792_038823_CCB8,44.1088968078967,13.6489949830852,529.0,10098.0,,,,,22.25,ais,False,,9999.99,9999.99,HIGH
train,GRD,81f64a8d90b22463t,81f64a8d90b22463t_044.40554525880550329475_012.54644741708460031759,S1A_IW_GRDH_1SDV_20200114T051927_20200114T051952_030792_038823_CCB8,44.4055452588055,12.5464474170846,9795.0,11698.0,,,,,,ais,False,,9999.99,9999.99,HIGH
train,GRD,e42a50089e03990ft,e42a50089e03990ft_005.73333403990068024569_004.95891758576263974589,S1A_IW_GRDH_1SDV_20200114T052956_20200114T053025_030792_038825_9B98,5.733334039900679,4.95891758576264,2366.0,8097.0,,,,,,ais,False,,9999.99,9.774152066865923,HIGH
