partition,product_type,scene_id,detect_id,SLC_product_identifier,swath_index,detect_lat,detect_lon,detect_scene_column,detect_scene_row,top,left,bottom,right,vessel_length_m,source,is_vessel,is_fishing,global_shoreline_vector_distance_from_shore_km,xView3_shoreline_distance_from_shore_km,confidence
validation,SLC,b1844cde847a3942v,b1844cde847a3942v_005.38286736999999959608_005.05949918499999995447,S1A_IW_SLC__1SDV_20200126T052956_20200126T053026_030967_038E50_4681,1,5.38286737,5.059499185,1099.0,2761.0,2769.0,1065.0,2754.0,1133.0,201.9434849,ais/manual,True,False,9999.99,9999.99,HIGH
validation,SLC,b1844cde847a3942v,b1844cde847a3942v_006.28222557900000033726_003.28311126399999997361,S1A_IW_SLC__1SDV_20200126T052956_20200126T053026_030967_038E50_4681,3,6.282225579,3.283111264,13372.0,7817.0,7827.0,13332.0,7807.0,13411.0,221.29270130000003,ais/manual,True,False,9999.99,9999.99,HIGH
validation,SLC,b1844cde847a3942v,b1844cde847a3942v_006.35486453700000009093_003.28541120399999986290,S1A_IW_SLC__1SDV_20200126T052956_20200126T053026_030967_038E50_4681,3,6.354864537,3.285411204,13776.0,8383.0,8388.0,13741.0,8378.0,13808.0,148.3899158,ais/manual,True,False,5.403146170404296,5.42670510193617,HIGH
validation,SLC,b1844cde847a3942v,b1844cde847a3942v_005.52452036299999971192_004.87293250799999988487,S1A_IW_SLC__1SDV_20200126T052956_20200126T053026_030967_038E50_4681,1,5.524520363,4.872932508,6419.0,3554.0,3556.0,6411.0,3551.0,6427.0,56.06938899,ais/manual,True,False,9999.99,9999.99,HIGH
validation,SLC,b1844cde847a3942v,b1844cde847a3942v_005.17853979100000039182_004.27151345099999968369,S1A_IW_SLC__1SDV_20200126T052956_20200126T053026_030967_038E50_4681,2,5.178539791,4.2715134510000015,540.0,390.0,395.0,522.0,385.0,558.0,87.84646824,ais/manual,True,False,9999.99,9999.99,HIGH
validation,SLC,b1844cde847a3942v,b1844cde847a3942v_006.34908892400000013367_003.40096064600000014266,S1A_IW_SLC__1SDV_20200126T052956_20200126T053026_030967_038E50_4681,3,6.349088924,3.400960646,10006.0,8521.0,8525.0,9984.0,8517.0,10029.0,91.30999194,ais/manual,True,False,5.029863271280956,5.358698782388705,HIGH
validation,SLC,b1844cde847a3942v,b1844cde847a3942v_006.35229450200000034243_003.34626081700000010954,S1A_IW_SLC__1SDV_20200126T052956_20200126T053026_030967_038E50_4681,3,6.352294502,3.346260817,11788.0,8459.0,8463.0,11763.0,8455.0,11814.0,35.92683219,ais/manual,True,True,5.2928023680883705,5.2789228706311,HIGH
validation,SLC,b1844cde847a3942v,b1844cde847a3942v_005.71815760700000019767_004.48292968999999974500,S1A_IW_SLC__1SDV_20200126T052956_20200126T053026_030967_038E50_4681,1,5.718157607,4.48292969,17708.0,4423.0,4426.0,17699.0,4421.0,17716.0,50.08408303,ais/manual,True,False,9999.99,9999.99,HIGH
validation,SLC,b1844cde847a3942v,b1844cde847a3942v_005.32469935700000007728_004.31322601100000024843,S1A_IW_SLC__1SDV_20200126T052956_20200126T053026_030967_038E50_4681,1,5.324699357,4.313226011,20150.0,1115.0,1117.0,20144.0,1112.0,20157.0,46.65642076,ais/manual,True,False,9999.99,9999.99,HIGH
validation,SLC,b1844cde847a3942v,b1844cde847a3942v_006.35837660899999956854_003.31290044999999988562,S1A_IW_SLC__1SDV_20200126T052956_20200126T053026_030967_038E50_4681,3,6.358376609,3.31290045,12907.0,8454.0,8458.0,12873.0,8449.0,12939.0,104.897121,ais/manual,True,False,4.796157772777119,5.271964186014631,HIGH
validation,SLC,b1844cde847a3942v,b1844cde847a3942v_006.30930441100000027888_003.21884399400000020819,S1A_IW_SLC__1SDV_20200126T052956_20200126T053026_030967_038E50_4681,3,6.309304411,3.218843994,15644.0,7925.0,7932.0,15610.0,7919.0,15675.0,178.2235743,ais/manual,True,False,9999.99,9999.99,HIGH
validation,SLC,b1844cde847a3942v,b1844cde847a3942v_006.38157611000000013490_003.38507157600000008202,S1A_IW_SLC__1SDV_20200126T052956_20200126T053026_030967_038E50_4681,3,6.38157611,3.385071576,10729.0,8747.0,8749.0,10722.0,8745.0,10736.0,55.41139522,ais/manual,True,False,1.5171622473482282,1.7185623883214474,HIGH
validation,SLC,b1844cde847a3942v,b1844cde847a3942v_005.49620406599999977715_004.93456145299999970888,S1A_IW_SLC__1SDV_20200126T052956_20200126T053026_030967_038E50_4681,1,5.4962040660000016,4.934561453,4730.0,3434.0,3438.0,4721.0,3431.0,4738.0,49.34071211,ais/manual,True,False,9999.99,9999.99,HIGH
validation,SLC,b1844cde847a3942v,b1844cde847a3942v_006.31112025899999995460_003.20248033500000017781,S1A_IW_SLC__1SDV_20200126T052956_20200126T053026_030967_038E50_4681,3,6.311120259,3.202480335,16191.0,7914.0,7921.0,16171.0,7906.0,16212.0,179.5742751,ais/manual,True,False,9999.99,9999.99,HIGH
validation,SLC,b1844cde847a3942v,b1844cde847a3942v_006.38246209700000033394_003.40921493100000017051,S1A_IW_SLC__1SDV_20200126T052956_20200126T053026_030967_038E50_4681,3,6.382462097,3.409214931,9959.0,8792.0,8795.0,9948.0,8789.0,9970.0,19.80796544,ais/manual,True,False,1.849200650447412,2.335445106186636,HIGH
validation,SLC,b1844cde847a3942v,b1844cde847a3942v_006.28812733500000042852_003.23953834599999979105,S1A_IW_SLC__1SDV_20200126T052956_20200126T053026_030967_038E50_4681,3,6.288127335,3.239538346,14828.0,7794.0,7804.0,14797.0,7785.0,14859.0,169.5289918,ais/manual,True,False,9999.99,9999.99,HIGH
