partition,product_type,scene_id,detect_id,SLC_product_identifier,swath_index,detect_lat,detect_lon,detect_scene_column,detect_scene_row,top,left,bottom,right,vessel_length_m,source,is_vessel,is_fishing,global_shoreline_vector_distance_from_shore_km,xView3_shoreline_distance_from_shore_km,confidence
train,SLC,81f64a8d90b22463t,81f64a8d90b22463t_044.28873298372150202340_012.64578822389909973367,S1A_IW_SLC__1SDV_20200114T051926_20200114T051953_030792_038823_E01A,2,44.2887329837215,12.6457882238991,808.0,7278.0,,,,,,ais,False,,9999.99,9999.99,HIGH
train,SLC,81f64a8d90b22463t,81f64a8d90b22463t_044.73848525438580026048_012.45257617111109915697,S1A_IW_SLC__1SDV_20200114T051926_20200114T051953_030792_038823_E01A,2,44.738485254385786,12.4525761711111,7020.0,10616.0,,,,,18.32,ais,False,,7.186553627064515,6.911887849536142,HIGH
train,SLC,81f64a8d90b22463t,81f64a8d90b22463t_044.32261835297269669809_013.40746233991159996890,S1A_IW_SLC__1SDV_20200114T051926_20200114T051953_030792_038823_E01A,1,44.32261835297271,13.4074623399116,6450.0,9211.0,,,,,,ais,False,,9999.99,9999.99,HIGH
train,SLC,81f64a8d90b22463t,81f64a8d90b22463t_044.10493197033250112327_012.84027672110459938892,S1A_IW_SLC__1SDV_20200114T051926_20200114T051953_030792_038823_E01A,1,44.1049319703325,12.8402767211046,15988.0,6909.0,,,,,18.0,ais,False,,9999.99,9999.99,HIGH
train,SLC,81f64a8d90b22463t,81f64a8d90b22463t_044.54036875355269842203_012.49586296129090001727,S1A_IW_SLC__1SDV_20200114T051926_20200114T051953_030792_038823_E01A,2,44.54036875355271,12.4958629612909,5116.0,9102.0,,,,,,ais,False,,9999.99,9999.99,HIGH
train,SLC,81f64a8d90b22463t,81f64a8d90b22463t_044.48687772045410326882_012.53133045408820045452,S1A_IW_SLC__1SDV_20200114T051926_20200114T051953_030792_038823_E01A,2,44.4868777204541,12.5313304540882,4121.0,8718.0,,,,,,ais,False,,9999.99,9999.99,HIGH
train,SLC,81f64a8d90b22463t,81f64a8d90b22463t_044.48019885729569722344_012.45323436515229964527,S1A_IW_SLC__1SDV_20200114T051926_20200114T051953_030792_038823_E01A,2,44.4801988572957,12.4532343651523,5675.0,8587.0,,,,,,ais,False,,9999.99,9999.99,HIGH
train,SLC,81f64a8d90b22463t,81f64a8d90b22463t_044.50922594240959995204_012.37348909073200076136,S1A_IW_SLC__1SDV_20200114T051926_20200114T051953_030792_038823_E01A,2,44.5092259424096,12.373489090732,7462.0,8736.0,,,,,,ais,False,,6.6090863420762265,6.847573463702779,HIGH
train,SLC,81f64a8d90b22463t,81f64a8d90b22463t_043.74465981828880245530_013.52047322875369950168,S1A_IW_SLC__1SDV_20200114T051926_20200114T051953_030792_038823_E01A,1,43.7446598182888,13.5204732287537,1684.0,4813.0,,,,,25.6,ais,False,,9999.99,9999.99,HIGH
train,SLC,81f64a8d90b22463t,81f64a8d90b22463t_044.36854951395839918860_012.57635749627410071128,S1A_IW_SLC__1SDV_20200114T051926_20200114T051953_030792_038823_E01A,2,44.3685495139584,12.5763574962741,2606.0,7834.0,,,,,,ais,False,,9999.99,9999.99,HIGH
train,SLC,81f64a8d90b22463t,81f64a8d90b22463t_044.23114138813169660125_012.48283863719549913185,S1A_IW_SLC__1SDV_20200114T051926_20200114T051953_030792_038823_E01A,2,44.2311413881317,12.4828386371955,3793.0,6660.0,,,,,,ais,False,,6.729996323207068,6.425587151621237,HIGH
train,SLC,e42a50089e03990ft,e42a50089e03990ft_005.75931093979040031883_004.89699096877246020654,S1A_IW_SLC__1SDV_20200114T052956_20200114T053026_030792_038825_703F,1,5.7593109397904,4.89699096877246,7035.0,5409.0,,,,,,ais,False,,9999.99,9999.99,HIGH
train,SLC,e42a50089e03990ft,e42a50089e03990ft_005.56456992591397980874_005.13114728837823008689,S1A_IW_SLC__1SDV_20200114T052956_20200114T053026_030792_038825_703F,1,5.56456992591398,5.13114728837823,280.0,4283.0,,,,,,ais,False,,3.7846180896113135,4.536069057588244,HIGH
train,SLC,e42a50089e03990ft,e42a50089e03990ft_005.93938153082726039145_004.82707197773252971729,S1A_IW_SLC__1SDV_20200114T052956_20200114T053026_030792_038825_703F,1,5.93938153082726,4.827071977732532,9772.0,6687.0,,,,,,ais,False,,8.630202801719935,8.828115237246617,HIGH
train,SLC,e42a50089e03990ft,e42a50089e03990ft_005.49877656141974036075_004.81556486116094983885,S1A_IW_SLC__1SDV_20200114T052956_20200114T053026_030792_038825_703F,1,5.49877656141974,4.81556486116095,7740.0,3269.0,,,,,,ais,False,,9999.99,9999.99,HIGH
train,SLC,e42a50089e03990ft,e42a50089e03990ft_005.87707859333873017249_004.85305848725136002031,S1A_IW_SLC__1SDV_20200114T052956_20200114T053026_030792_038825_703F,1,5.87707859333873,4.85305848725136,8773.0,6248.0,,,,,42.996827525622216,ais,False,,9999.99,9999.99,HIGH
train,SLC,e42a50089e03990ft,e42a50089e03990ft_005.82231287750622961141_004.79689558447901021054,S1A_IW_SLC__1SDV_20200114T052956_20200114T053026_030792_038825_703F,1,5.82231287750623,4.796895584479009,9930.0,5735.0,,,,,,ais,False,,9999.99,9999.99,HIGH
train,SLC,e42a50089e03990ft,e42a50089e03990ft_005.56875544787980025774_005.12367333633960964079,S1A_IW_SLC__1SDV_20200114T052956_20200114T053026_030792_038825_703F,1,5.568755447879799,5.1236733363396105,480.0,4303.0,,,,,,ais,False,,4.725889047226943,5.258527457854243,HIGH
train,SLC,e42a50089e03990ft,e42a50089e03990ft_005.55750661661572031846_005.08384201393831958171,S1A_IW_SLC__1SDV_20200114T052956_20200114T053026_030792_038825_703F,1,5.557506616615719,5.0838420139383205,1382.0,4153.0,,,,,38.037107690278944,ais,False,,8.395479047320695,9.332625407229212,HIGH
train,SLC,e42a50089e03990ft,e42a50089e03990ft_005.97280359556787043829_004.83269134412460044103,S1A_IW_SLC__1SDV_20200114T052956_20200114T053026_030792_038825_703F,1,5.97280359556787,4.8326913441246,9805.0,6953.0,,,,,,ais,False,,5.591602748874563,5.681665643114881,HIGH
train,SLC,e42a50089e03990ft,e42a50089e03990ft_005.74173506160096014383_005.03855855868950985865,S1A_IW_SLC__1SDV_20200114T052956_20200114T053026_030792_038825_703F,1,5.74173506160096,5.03855855868951,3411.0,5501.0,,,,,107.17715900712388,ais,False,,3.437227100582119,3.078556999224609,HIGH
train,SLC,e42a50089e03990ft,e42a50089e03990ft_005.70898658261029012806_004.48272627806728962696,S1A_IW_SLC__1SDV_20200114T052956_20200114T053026_030792_038825_703F,1,5.70898658261029,4.4827262780672905,17664.0,4358.0,,,,,,ais,False,,9999.99,9999.99,HIGH
train,SLC,e42a50089e03990ft,e42a50089e03990ft_005.58189855802462986389_005.03727643897726018452,S1A_IW_SLC__1SDV_20200114T052956_20200114T053026_030792_038825_703F,1,5.581898558024629,5.03727643897726,2635.0,4266.0,,,,,,ais,False,,9999.99,9999.99,HIGH
train,SLC,e42a50089e03990ft,e42a50089e03990ft_005.88986831351035977633_004.81607389369897020970,S1A_IW_SLC__1SDV_20200114T052956_20200114T053026_030792_038825_703F,1,5.8898683135103616,4.816073893698969,9793.0,6287.0,,,,,,ais,False,,9999.99,9999.99,HIGH
train,SLC,e42a50089e03990ft,e42a50089e03990ft_005.82103262990198988547_004.90640557589298964558,S1A_IW_SLC__1SDV_20200114T052956_20200114T053026_030792_038825_703F,1,5.82103262990199,4.906405575892991,7118.0,5901.0,,,,,,ais,False,,9999.99,9999.99,HIGH
train,SLC,e42a50089e03990ft,e42a50089e03990ft_005.58502854090426037459_005.09837647072666033665,S1A_IW_SLC__1SDV_20200114T052956_20200114T053026_030792_038825_703F,1,5.58502854090426,5.09837647072666,1168.0,4388.0,,,,,,ais,False,,6.3625912263517765,6.100052794795302,HIGH
train,SLC,e42a50089e03990ft,e42a50089e03990ft_005.73786077271418992751_004.72636415735554038520,S1A_IW_SLC__1SDV_20200114T052956_20200114T053026_030792_038825_703F,1,5.737860772714192,4.72636415735554,11313.0,4971.0,,,,,,ais,False,,9999.99,9999.99,HIGH
train,SLC,e42a50089e03990ft,e42a50089e03990ft_005.87661423561276041738_004.83228378907073974347,S1A_IW_SLC__1SDV_20200114T052956_20200114T053026_030792_038825_703F,1,5.87661423561276,4.832283789070741,9305.0,6211.0,,,,,,ais,False,,9999.99,9999.99,HIGH
train,SLC,e42a50089e03990ft,e42a50089e03990ft_005.67554187766055040498_005.04274688536181958654,S1A_IW_SLC__1SDV_20200114T052956_20200114T053026_030792_038825_703F,1,5.6755418776605495,5.0427468853618205,2974.0,4997.0,,,,,,ais,False,,5.807207610841636,5.871871312880231,HIGH
train,SLC,3363a2f83f62fa6bt,3363a2f83f62fa6bt_005.58578876158774040306_005.11974281098294969894,S1A_IW_SLC__1SDV_20200114T175310_20200114T175337_030800_03886A_D847,1,5.58578876158774,5.119742810982951,17961.0,1832.0,,,,,,ais,False,,4.693363509920344,4.122440328244023,HIGH
train,SLC,3363a2f83f62fa6bt,3363a2f83f62fa6bt_005.57706040246413969896_005.12038607340455964589,S1A_IW_SLC__1SDV_20200114T175310_20200114T175337_030800_03886A_D847,1,5.57706040246414,5.12038607340456,17930.0,1901.0,,,,,,ais,False,,5.356736731835352,4.735491309515062,HIGH
train,SLC,3363a2f83f62fa6bt,3363a2f83f62fa6bt_005.28183001167619980976_005.30056640054267980133,S1A_IW_SLC__1SDV_20200114T175310_20200114T175337_030800_03886A_D847,2,5.2818300116762,5.30056640054268,1278.0,3599.0,,,,,,ais,False,,3.895500650536057,2.271968504662235,HIGH
train,SLC,3363a2f83f62fa6bt,3363a2f83f62fa6bt_005.54800794492838011962_005.06646306824381031930,S1A_IW_SLC__1SDV_20200114T175310_20200114T175337_030800_03886A_D847,1,5.54800794492838,5.0664630682438085,16302.0,2038.0,,,,,38.97323845967,ais,False,,9999.99,9999.99,HIGH
train,SLC,3363a2f83f62fa6bt,3363a2f83f62fa6bt_005.58112970257437979171_005.08273065830351011840,S1A_IW_SLC__1SDV_20200114T175310_20200114T175337_030800_03886A_D847,1,5.58112970257438,5.08273065830351,16927.0,1809.0,,,,,37.27271331388158,ais,False,,7.935564029817894,7.566163429164415,HIGH
train,SLC,3363a2f83f62fa6bt,3363a2f83f62fa6bt_005.42284796739872998472_005.15479721860314032966,S1A_IW_SLC__1SDV_20200114T175310_20200114T175337_030800_03886A_D847,1,5.422847967398732,5.1547972186031386,18004.0,3146.0,,,,,,ais,False,,7.758988365586329,7.139430451921498,HIGH
train,SLC,3363a2f83f62fa6bt,3363a2f83f62fa6bt_005.38297417125663013593_005.29463029426750964035,S1A_IW_SLC__1SDV_20200114T175310_20200114T175337_030800_03886A_D847,2,5.38297417125663,5.29463029426751,1693.0,2809.0,,,,,29.3844029433875,ais,False,,3.306545318148112,3.321783258629416,HIGH
